movie,component1,component2,component3
The Shawshank Redemption,-0.259471608,-0.651401428,0.072345334
The Godfather,-0.195032736,-0.987468152,0.308646833
The Dark Knight,-0.460138754,-0.064872519,0.280699856
The Godfather: Part II,-0.204539166,-1.088937073,0.42536894
12 Angry Men,-0.10348017,-0.266241221,-0.009128336
The Lord of the Rings: The Return of the King,-0.670111505,0.566027041,0.117621031
Pulp Fiction,-0.269247856,-1.058417964,0.241803385
Schindler's List,-0.257313874,-0.876811676,-0.339957818
Inception,-0.991963071,0.948152122,0.275613696
Fight Club,-0.145508749,-0.726766194,0.014296335
The Lord of the Rings: The Fellowship of the Ring,-0.666164425,0.565362881,0.115727157
Forrest Gump,-0.259670761,0.062958517,-0.714358828
"The Good, the Bad and the Ugly",0.599712506,-0.184331437,0.517364694
Soorarai Pottru,1.297251241,0.341415138,0.083592158
The Lord of the Rings: The Two Towers,-0.653673193,0.573150667,0.116738113
The Matrix,-0.669270007,-0.088474498,0.915358714
Goodfellas,-0.184678088,-1.02559999,0.205648995
Star Wars: Episode V - The Empire Strikes Back,-0.868156855,1.112425277,0.576666783
One Flew Over the Cuckoo's Nest,-0.230587126,-0.642202521,0.021246524
Hamilton,-0.274501812,-0.044992536,-0.715691433
Parasite,0.309762393,-0.540829838,0.265329882
Interstellar,-0.710702629,0.38534208,-0.312012752
City of God,0.954847097,-0.821540082,0.522328682
Spirited Away,0.297854637,1.540925349,0.59532214
Saving Private Ryan,-0.239738289,-0.784890239,-0.439581213
The Green Mile,-0.154129534,-0.845973017,0.136062543
Life Is Beautiful,0.424293099,0.197720968,-0.973607496
Se7en,-0.124424201,-0.933678694,0.495754878
The Silence of the Lambs,-0.183552602,-1.011654914,0.566778755
Star Wars: Episode IV - A New Hope,-0.893056491,1.104217473,0.568633933
Hara-Kiri,1.303788746,0.565790948,0.589651688
Seven Samurai,1.007423253,0.976843355,0.661004306
It's a Wonderful Life,-0.29090816,0.279845231,-0.727662813
Joker,-0.139558865,-0.973093906,0.633905355
Vikram Vedha,1.593329129,0.405607301,0.864027594
Whiplash,-0.227978102,-0.672562341,-0.009208445
The Intouchables,0.400789034,-0.624551595,-0.513806173
The Prestige,-0.400141725,-0.012280735,-0.413866071
The Departed,-0.184451562,-0.993539278,0.662294905
The Pianist,-0.215069535,-1.028898299,-0.528671296
Gladiator,-0.650964491,-0.208204122,0.574341104
American History X,-0.194451143,-0.630684945,0.056000376
The Usual Suspects,-0.43187485,-0.882656727,0.849643485
Léon: The Professional,-0.125193565,-0.944453654,0.370941334
The Lion King,-0.491169173,0.557948004,-0.109560031
Terminator 2: Judgment Day,-0.611999801,-0.298883867,0.871423133
Cinema Paradiso,0.959217177,-0.641234203,0.034045141
Grave of the Fireflies,1.309448396,0.659970407,0.091763611
Back to the Future,-0.893161513,1.086143758,0.080072612
Once Upon a Time in the West,-0.445037713,0.36752498,-0.292895323
